id;name;description;image;image_content_type;price;size
1;mobile Fish;Home Loan Account Table Computer;../fake-data/blob/hipster.png;image/png;5808;L
2;deposit Tasty Metal Bacon Implementation;Chips;../fake-data/blob/hipster.png;image/png;18340;XL
3;Home Namibia;Steel zero administration;../fake-data/blob/hipster.png;image/png;36636;S
4;Savings Account syndicate Planner;Refined Rubber Chicken Table;../fake-data/blob/hipster.png;image/png;6505;L
5;South Dakota envisioneer Music;Nakfa;../fake-data/blob/hipster.png;image/png;44015;M
6;incentivize Tuna copy;Costa Rica Mayotte;../fake-data/blob/hipster.png;image/png;18485;S
7;Views e-enable Communications;National Awesome sky blue;../fake-data/blob/hipster.png;image/png;4522;XL
8;Louisiana Specialist Home Loan Account;Plastic;../fake-data/blob/hipster.png;image/png;80219;L
9;deliverables reinvent 24 hour;overriding;../fake-data/blob/hipster.png;image/png;70685;XXL
10;Internal;Investment Account archive Fantastic Plastic Chicken;../fake-data/blob/hipster.png;image/png;32518;L
